id,identificador,autor
,S1DgooQeA6U,André Trigueiro
,tWuEhUAzyzI,Bel Juruna
,qx4-C8e2hUE,Ilana Katz
,gU4OhRuat7k,Ana Rosa Cyrus
,x1WETzc4y6U,Stuart Basden
,GZ-xQgNWxfM,Mariana Belmont
,530n8LeIa88,Béa Meira
,FeJ0cChTiTE,Gabriel Quintana
,YHZJCkXYlGQ,Karina Penha Andrade Costa
,MeyPk0rBECc,Angelica Ferrarez
,pDto9R_vH9I,Pai Rychelmi de Imbiribá
,1ZXV3YsmwYk,Raquel Rosenberg
,6rWAvbYZ3u0,Mohammed Rabiu
,UiQLg9Niks4,Jacira Roque de Oliveira
,nb121FgATN4,Bruna Lombardi
,HI2zC7pOVoc,Walter Oliveira
,K_3tZpX2Vb8,Abdul-Halim
,RcRI587z9ko,Bibariwiah Godwin Fuoh 
,OEJKrUvbz1o,Fernando Lufer
,jq6ebFct7yY,Nils
,FZiaSaWz1U4,Eliane Brum
,NnTU7R1m7Qw,Padre Julio Lancelotti
,k5_yPrJ9S7I,Hamagai Pataxó
,fmkJlJ4RZXQ,Chico Catitu
,4EGDt04o3ns,Robin Ellis-Cockcroft
,RfFzSlJE3g8,Diel Juruna
,Q3X46xmoWaU,Andrew Martin Sugars
,f4ywzgTW7ms,Gilson Curaia
,hMJ2xd5Xlaw,Marcelo Salazar
,L6MQK-z89vU,Carmem Silva
,Q8IsFPjOGtQ,Tatiana Rodrigues Ribeiro 
,cGyvU6mU5VA,Luaa Gabanini
